down,ydstogo,yardline_100,qtr,time_remaining,score_diff,offense_timeouts,defense_timeouts,home,weather_temp,weather_wind,weather_rain
1,2,73,1,3582,11,1,1,1,51.1,2.8,0
4,19,87,4,3379,-5,3,0,0,75.5,14.5,1
3,10,57,1,3467,11,3,2,1,59.5,4.0,0
2,19,41,2,3411,4,3,3,0,44.2,0.7,0
2,8,1,3,3181,-22,3,1,0,39.2,-5.5,0
4,16,61,4,1929,-1,2,0,1,79.5,9.2,1
1,7,89,3,2539,-16,0,0,1,56.0,7.1,1
3,9,14,4,903,4,2,3,1,45.2,5.3,0
1,7,24,2,2515,22,3,1,1,45.1,6.7,1
1,11,52,4,2661,19,2,3,1,77.8,1.3,0
3,5,53,2,1547,-2,0,2,0,57.8,6.6,0
4,10,42,1,2381,7,1,3,0,40.6,4.7,0
3,16,15,4,1518,3,3,0,1,43.2,4.3,0
4,3,48,3,3151,-17,0,1,0,42.2,-9.3,0
3,16,50,1,704,13,0,1,1,55.6,0.1,1
4,17,19,2,3067,-10,0,2,1,78.9,12.2,1
3,1,60,1,2768,23,2,1,0,32.7,6.2,1
1,13,85,2,1002,3,1,0,0,52.8,3.7,1
4,10,9,3,583,19,3,1,0,73.8,-0.7,0
2,13,8,1,2102,4,0,2,1,52.5,12.6,0
3,6,56,4,3372,-4,2,3,0,61.6,7.0,1
2,5,77,4,1579,14,3,3,1,58.3,2.0,1
1,6,11,3,953,-7,2,1,1,26.1,2.7,0
4,3,93,2,3345,2,2,0,0,52.0,8.0,1
4,8,47,1,2271,0,3,1,1,40.9,5.7,1
3,17,11,4,1472,2,1,1,1,70.6,8.9,1
2,15,44,2,1509,22,1,1,1,75.2,-3.6,1
4,4,43,1,228,-25,1,1,1,61.6,5.7,1
3,11,39,2,3004,17,1,0,1,66.5,2.7,0
2,2,58,4,1763,-6,1,0,1,47.1,3.5,1
2,2,25,3,2894,13,0,3,1,75.8,4.4,1
1,12,98,4,829,-22,1,0,0,64.3,5.7,0
1,6,29,3,290,15,2,0,0,43.2,10.1,0
3,14,85,2,38,-5,1,0,1,27.8,7.6,1
4,3,81,3,2209,24,1,1,1,74.2,7.3,1
1,3,41,3,3283,-13,3,1,1,37.9,7.7,1
4,14,19,4,2632,-9,1,3,0,63.7,11.9,1
4,4,95,2,2421,10,0,2,0,68.3,11.2,0
2,2,57,2,1852,-23,0,1,1,41.7,12.8,1
3,15,33,1,421,-23,2,1,0,85.3,22.2,1
1,14,15,2,2021,-10,3,0,1,45.1,14.7,1
4,18,34,3,1366,5,2,0,0,44.6,9.8,0
3,12,64,2,392,8,1,3,1,54.9,-2.1,0
2,10,50,3,1003,22,1,2,0,52.7,-1.3,1
1,13,7,1,2487,13,0,2,0,45.5,15.8,0
4,16,77,3,2938,-8,0,3,0,52.4,9.1,1
2,12,32,4,1110,-25,2,1,1,66.7,17.2,0
4,7,19,4,2508,-13,2,2,0,47.4,-4.1,1
3,17,69,2,3585,-28,1,1,1,48.6,12.4,1
4,14,73,3,395,12,0,3,1,26.8,8.2,1
4,17,81,4,1354,-12,3,2,1,38.5,9.8,0
1,11,1,2,23,21,2,1,0,31.5,-1.2,0
2,9,38,2,598,17,0,3,0,69.7,3.3,1
2,17,26,4,2951,22,2,3,1,60.8,-1.7,1
2,12,57,4,2945,10,2,3,1,58.4,6.8,1
1,15,96,4,3359,14,1,3,0,52.7,3.9,0
3,17,12,4,2249,22,2,0,1,59.5,9.3,1
1,6,65,2,3462,-7,0,1,1,70.8,4.0,1
